Age,Gender,Revenue_Total,N_Purchases,Purchase_VALUE,Pay_Method,Time_Spent,Browser,Newsletter,Voucher,Purchase_Month,Purchase_Day,Average_PurchaseValue
56,1,3.9,7,1.755,2,128,0,1,0,4,10,0.5571428571428572
60,0,5.1,1,5.1,0,755,0,0,0,1,3,5.1
32,1,1.6,5,1.488,1,1040,0,0,1,11,22,0.32
49,1,11.3,6,7.006,0,729,3,0,0,5,22,1.8833333333333335
22,1,41.9,7,31.006,2,1033,0,0,0,2,7,5.985714285714286
25,1,22.7,2,12.031,2,628,2,0,0,10,15,11.35
57,1,37.1,7,17.066,1,757,0,0,0,1,14,5.3
50,0,5.7,2,1.71,1,815,0,1,1,8,31,2.85
55,0,27.2,2,16.592,3,1038,1,1,0,2,6,13.6
27,1,17.5,3,12.425,1,199,0,0,0,12,14,5.833333333333333
19,0,44.7,5,32.631,3,216,0,0,1,8,18,8.940000000000001
33,1,36.0,5,0.36,2,372,1,0,0,3,11,7.2
51,1,30.6,6,0.612,2,929,0,0,0,7,3,5.1000000000000005
63,0,5.4,7,3.078,1,552,0,0,1,11,25,0.7714285714285715
52,1,17.9,3,1.074,0,515,3,0,0,1,7,5.966666666666666
34,1,22.1,7,4.641,3,339,0,0,0,3,15,3.1571428571428575
46,1,22.6,1,22.6,2,324,0,0,0,9,7,22.6
63,1,33.2,2,23.904,0,240,1,0,0,7,23,16.6
19,1,57.9,2,49.215,2,435,0,0,0,10,29,28.95
17,0,42.1,7,25.26,3,795,3,0,0,2,11,6.014285714285714
46,1,2.0,7,1.84,3,842,0,1,1,10,27,0.2857142857142857
59,1,51.1,4,36.281,1,993,0,0,0,4,13,12.775
45,1,3.6,1,3.6,1,653,0,0,1,4,3,3.6
29,1,31.4,3,5.024,0,748,1,0,1,8,28,10.466666666666667
54,0,30.3,7,16.968,1,216,0,1,0,6,4,4.328571428571428
46,1,32.1,5,19.902,0,822,1,0,0,8,31,6.42
47,0,2.9,4,0.348,1,181,0,0,1,7,28,0.725
45,1,34.1,6,28.644,0,1018,3,0,0,2,28,5.683333333333334
21,0,40.5,4,14.175,3,633,3,0,0,11,23,10.125
25,1,41.3,3,16.933,0,159,0,0,0,7,24,13.766666666666666
55,1,20.1,2,18.09,1,683,0,0,1,5,29,10.05
40,1,9.3,3,7.905,0,921,0,0,1,3,25,3.1
34,1,58.7,7,58.113,1,338,3,0,0,1,22,8.385714285714286
45,1,41.9,7,14.246,1,986,0,0,1,3,29,5.985714285714286
57,0,53.9,6,10.241,3,1048,3,0,0,9,6,8.983333333333333
32,0,33.0,5,31.35,1,870,0,0,0,12,20,6.6
18,1,33.3,2,18.648,3,735,0,0,0,1,12,16.65
39,1,31.9,6,31.262,0,750,0,0,1,10,28,5.316666666666666
46,0,11.5,4,10.35,2,1048,0,0,1,3,22,2.875
41,0,54.9,4,13.725,1,572,0,0,0,6,19,13.725
40,0,27.5,7,21.175,2,1070,0,1,0,10,20,3.9285714285714284
54,1,14.5,6,0.87,2,385,0,0,0,3,11,2.4166666666666665
49,1,13.6,2,8.296,0,259,1,1,0,6,26,6.8
56,1,40.3,1,40.3,1,636,0,0,0,4,26,40.3
56,1,2.2,4,1.518,0,965,2,1,1,10,29,0.55
18,1,20.9,6,18.183,1,271,0,0,0,4,22,3.483333333333333
62,1,24.3,2,16.524,1,168,3,0,1,10,27,12.15
17,1,28.0,6,22.68,0,269,0,0,0,11,29,4.666666666666667
21,0,6.8,1,6.8,1,932,0,0,0,9,2,6.8
26,1,5.1,6,3.723,2,1005,0,0,1,10,25,0.85
54,1,22.7,7,4.313,3,159,0,0,0,3,20,3.242857142857143
26,0,32.7,4,21.582,3,773,0,0,0,12,23,8.175
43,0,50.5,5,39.895,1,1050,0,0,0,5,30,10.1
43,1,19.0,5,2.47,1,648,0,0,0,8,30,3.8
32,1,29.1,2,14.841,3,764,1,0,0,12,12,14.55
52,1,50.1,5,12.525,3,588,0,0,1,2,15,10.02
49,1,51.3,5,19.494,2,678,0,0,0,3,27,10.26
61,0,35.3,7,30.358,3,800,0,1,0,4,29,5.042857142857143
50,0,26.4,7,0.528,0,852,1,0,1,10,17,3.7714285714285714
32,1,33.4,6,4.342,0,511,3,0,0,12,29,5.566666666666666
53,0,33.7,5,31.678,3,560,0,0,1,5,17,6.74
36,0,37.7,1,37.7,0,974,0,0,1,9,6,37.7
33,0,15.1,6,2.265,1,1072,0,0,1,12,9,2.5166666666666666
48,1,57.7,3,15.002,2,147,0,0,0,12,21,19.233333333333334
21,1,33.2,4,25.564,3,1069,0,0,0,4,14,8.3
35,0,32.2,5,0.322,0,788,1,0,0,4,26,6.44
52,1,20.0,2,6.0,1,341,0,0,1,9,17,10.0
30,1,39.9,3,18.354,2,280,1,0,1,2,25,13.299999999999999
31,0,38.0,5,32.3,1,312,0,0,0,6,25,7.6
55,0,33.7,1,33.7,0,357,1,0,0,9,20,33.7
40,1,14.1,2,10.998,0,613,0,1,1,9,7,7.05
24,1,20.5,4,6.355,1,891,0,0,1,11,27,5.125
36,1,32.4,7,30.132,3,697,3,0,0,1,12,4.628571428571428
44,1,44.9,6,22.45,1,1022,1,1,0,9,6,7.483333333333333
24,0,1.6,4,0.464,1,144,0,0,1,3,28,0.4
42,0,2.1,1,2.1,2,991,0,0,0,10,29,2.1
55,1,21.4,6,17.334,2,840,0,0,0,7,23,3.5666666666666664
30,1,48.3,7,29.463,3,776,0,0,0,1,26,6.8999999999999995
35,1,33.1,3,32.438,3,597,1,0,0,1,15,11.033333333333333
49,1,37.1,5,11.872,2,405,0,0,0,4,27,7.42
58,0,18.3,5,10.248,1,258,0,0,0,6,17,3.66
22,1,35.5,4,17.04,2,620,1,0,0,12,21,8.875
24,0,9.8,6,6.664,0,483,1,0,0,10,7,1.6333333333333335
23,1,32.2,2,4.83,1,276,0,1,0,11,21,16.1
58,0,33.5,1,33.5,0,824,0,1,0,12,26,33.5
50,0,25.8,3,21.156,2,884,0,0,0,5,3,8.6
39,1,12.1,1,12.1,0,785,2,0,1,12,14,12.1
32,1,34.3,1,34.3,3,319,0,0,0,12,2,34.3
57,1,21.8,1,21.8,3,659,0,1,0,3,21,21.8
52,0,24.4,2,9.76,1,431,0,0,0,4,1,12.2
55,1,14.8,4,14.652,3,426,1,0,0,3,19,3.7
47,1,21.4,2,1.926,0,361,1,0,0,10,20,10.7
36,1,34.8,2,26.796,1,467,0,1,0,9,11,17.4
62,1,57.5,7,23.575,1,464,0,0,1,6,1,8.214285714285714
50,0,3.3,7,1.749,0,834,1,0,0,1,3,0.4714285714285714
56,1,10.1,4,5.151,1,646,0,1,0,3,12,2.525
20,1,27.0,4,18.9,3,944,0,0,0,4,22,6.75
58,1,11.1,7,2.109,3,1051,0,0,0,12,12,1.5857142857142856
46,1,13.3,7,6.916,2,686,0,0,0,7,23,1.9000000000000001
37,1,39.0,2,11.31,0,328,3,0,0,6,17,19.5
46,1,4.1,1,4.1,2,656,0,0,0,3,25,4.1
62,1,35.3,6,29.652,0,729,0,0,0,2,20,5.883333333333333
63,1,49.5,5,27.72,0,907,0,0,0,3,7,9.9
63,0,5.6,1,5.6,3,964,0,0,1,2,26,5.6
59,1,14.3,1,14.3,0,139,0,0,1,12,14,14.3
23,1,41.5,1,41.5,2,339,1,0,1,1,22,41.5
44,0,38.1,4,28.575,2,860,0,0,0,2,14,9.525
31,1,1.3,7,0.052,2,1067,1,0,0,5,11,0.18571428571428572
53,1,20.4,3,5.304,1,1076,2,1,0,6,22,6.8
35,0,43.7,6,34.523,2,504,0,0,0,7,23,7.283333333333334
47,1,46.1,6,10.142,0,528,0,1,0,6,4,7.683333333333334
34,0,21.0,1,21.0,2,578,0,0,0,9,25,21.0
52,1,43.1,5,41.376,1,948,0,1,0,3,13,8.620000000000001
26,1,43.7,3,15.295,0,227,0,0,0,3,6,14.566666666666668
17,1,34.6,7,18.338,3,517,0,0,0,7,29,4.942857142857143
37,1,5.8,5,3.074,2,328,0,0,1,1,12,1.16
52,1,23.6,3,1.18,2,228,3,0,0,6,17,7.866666666666667
54,1,30.5,6,17.69,2,1046,2,1,0,9,7,5.083333333333333
34,1,50.9,7,19.851,0,604,1,1,1,4,8,7.271428571428571
38,0,20.8,5,18.096,2,646,3,0,0,1,13,4.16
39,1,27.2,6,19.312,0,788,1,0,1,1,11,4.533333333333333
60,1,2.4,2,0.12,2,177,0,1,0,9,20,1.2
52,1,25.3,3,4.554,2,1004,1,0,0,2,26,8.433333333333334
31,1,30.7,4,23.332,3,1073,0,0,1,2,6,7.675
59,0,27.2,6,26.384,3,1051,1,0,0,8,7,4.533333333333333
60,0,34.9,5,2.443,2,905,0,0,1,10,4,6.9799999999999995
56,1,25.1,3,16.566,3,581,0,1,0,12,29,8.366666666666667
29,0,20.1,2,5.226,0,254,1,0,0,7,26,10.05
49,1,8.1,5,2.187,1,774,0,0,0,7,21,1.6199999999999999
42,1,38.3,3,9.575,0,1008,0,1,0,2,28,12.766666666666666
20,1,9.5,2,6.175,2,323,1,0,0,11,11,4.75
48,0,55.9,4,21.242,1,135,0,0,0,5,20,13.975
56,0,34.7,3,32.271,2,150,0,0,0,11,26,11.566666666666668
16,0,33.7,3,2.359,2,762,3,0,1,3,8,11.233333333333334
35,0,39.9,3,30.324,3,368,0,0,1,11,29,13.299999999999999
63,0,36.9,4,36.531,3,857,1,0,0,1,14,9.225
30,0,34.5,7,14.49,2,752,0,0,1,11,8,4.928571428571429
53,0,48.9,1,48.9,0,723,0,1,0,6,12,48.9
21,1,39.8,3,23.482,1,711,0,0,0,12,1,13.266666666666666
21,1,45.3,6,21.291,1,1045,1,0,0,3,15,7.55
55,0,34.1,7,12.276,0,382,1,0,0,3,17,4.871428571428572
40,0,10.0,4,0.1,3,739,0,0,1,2,27,2.5
30,1,25.1,3,7.028,2,262,3,0,0,6,11,8.366666666666667
39,0,31.5,6,14.175,0,683,3,0,1,6,24,5.25
28,0,18.0,3,16.38,0,598,0,0,0,11,12,6.0
47,0,24.2,3,14.036,1,1018,0,1,0,12,1,8.066666666666666
57,1,17.4,1,17.4,1,705,1,0,0,12,11,17.4
54,0,38.5,6,1.155,1,582,0,1,0,2,5,6.416666666666667
45,1,38.8,4,30.264,1,390,1,0,0,3,26,9.7
46,0,51.1,5,6.132,3,824,3,0,1,12,12,10.22
33,0,37.2,4,6.324,3,905,0,0,0,5,3,9.3
32,1,33.9,6,2.034,3,991,0,0,0,4,6,5.6499999999999995
40,0,57.3,3,36.672,1,989,0,0,0,6,30,19.099999999999998
23,1,35.1,5,13.338,0,923,0,1,1,8,7,7.0200000000000005
40,0,24.5,4,16.17,1,626,2,0,0,3,20,6.125
48,1,35.0,4,6.65,0,459,3,0,0,2,13,8.75
41,1,16.4,2,4.428,3,378,0,0,0,9,15,8.2
24,0,37.7,7,26.013,0,570,0,1,0,2,28,5.385714285714286
47,1,4.6,1,4.6,0,664,0,0,0,6,7,4.6
61,1,2.3,6,0.138,3,648,1,0,0,6,25,0.3833333333333333
51,0,31.9,6,20.097,0,535,0,0,0,3,16,5.316666666666666
45,1,20.4,4,4.692,2,897,0,0,0,5,27,5.1
50,1,49.3,1,49.3,3,609,0,0,0,6,20,49.3
50,0,36.7,3,15.781,3,596,0,0,0,6,30,12.233333333333334
18,0,56.7,7,5.103,0,506,0,0,0,10,16,8.1
25,1,7.1,3,3.905,1,319,0,1,0,6,23,2.3666666666666667
38,1,21.9,3,9.198,3,1037,0,0,0,7,19,7.3
21,1,39.7,6,17.865,0,393,3,0,1,11,2,6.616666666666667
19,1,9.3,4,8.091,0,295,0,0,1,6,18,2.325
62,1,23.2,6,0.464,3,658,0,1,0,9,23,3.8666666666666667
24,1,27.9,3,26.784,3,332,2,0,0,1,1,9.299999999999999
35,0,46.1,3,4.149,0,218,0,0,1,2,6,15.366666666666667
56,1,52.1,5,3.126,1,956,3,0,0,5,11,10.42
63,0,30.3,4,18.786,2,671,0,0,0,12,27,7.575
36,1,35.3,7,14.473,3,644,1,0,0,5,5,5.042857142857143
40,1,28.5,4,9.405,0,390,3,0,0,11,24,7.125
49,0,43.7,2,25.346,1,371,0,0,0,10,7,21.85
57,0,8.9,4,3.56,3,588,0,0,0,11,20,2.225
22,1,59.7,5,54.327,1,936,1,1,1,6,16,11.940000000000001
29,1,9.1,7,4.368,1,767,0,0,0,9,21,1.3
32,0,9.3,4,8.37,2,709,0,1,0,10,23,2.325
41,0,33.6,5,3.696,3,643,0,0,0,4,11,6.720000000000001
50,1,21.6,5,6.264,3,253,0,0,0,8,17,4.32
56,1,54.9,1,54.9,1,723,3,0,0,8,7,54.9
30,1,28.4,4,21.016,1,271,0,0,0,11,19,7.1
41,1,28.9,5,3.757,1,395,0,0,1,8,2,5.779999999999999
30,1,26.3,6,17.884,0,303,0,0,1,9,30,4.383333333333334
23,0,30.4,3,14.592,1,684,0,1,0,1,31,10.133333333333333
54,1,23.1,2,0.924,1,766,0,0,0,4,26,11.55
45,1,30.3,1,30.3,0,1024,0,0,0,2,23,30.3
43,1,59.5,5,36.295,1,789,1,1,0,9,30,11.9
29,1,6.4,7,0.064,0,149,1,0,1,3,25,0.9142857142857144
35,0,31.5,5,29.295,1,699,0,0,0,4,16,6.3
29,0,26.7,1,26.7,1,776,0,0,1,10,1,26.7
29,0,39.5,6,29.625,0,395,3,0,1,5,31,6.583333333333333
40,1,1.2,2,0.888,2,874,0,0,0,8,27,0.6
53,1,37.1,6,20.034,0,156,0,0,0,8,6,6.183333333333334
47,1,17.1,6,0.513,0,724,0,0,0,11,8,2.85
60,1,8.6,7,3.526,0,262,1,0,0,6,25,1.2285714285714284
36,1,3.9,6,3.51,0,752,3,0,1,7,21,0.65
43,1,26.5,2,11.395,1,419,0,0,0,9,25,13.25
63,0,12.5,2,6.125,1,616,0,0,1,10,23,6.25
19,1,28.7,7,10.332,0,654,0,0,0,11,12,4.1
26,1,9.5,6,3.895,2,556,0,0,1,2,6,1.5833333333333333
54,0,20.0,3,15.6,1,694,0,1,0,7,20,6.666666666666667
16,0,14.0,2,4.48,0,626,0,0,0,6,7,7.0
26,1,28.5,6,6.555,3,1001,0,0,0,11,19,4.75
48,1,56.7,7,15.309,2,981,0,0,0,7,25,8.1
59,1,51.3,5,3.591,2,1027,0,0,0,2,11,10.26
20,0,33.1,7,14.564,3,570,1,0,0,2,14,4.728571428571429
39,1,35.6,6,31.684,2,144,0,0,0,3,16,5.933333333333334
47,1,38.5,5,37.345,3,444,0,0,0,7,5,7.7
56,1,38.8,3,24.056,0,172,0,0,0,5,29,12.933333333333332
20,1,29.8,5,9.536,1,965,1,0,1,3,10,5.96
28,1,14.9,4,6.705,3,1076,0,0,0,9,29,3.725
38,1,30.0,4,22.2,3,170,0,0,1,9,22,7.5
57,1,35.5,4,12.425,2,716,0,0,0,4,17,8.875
35,1,25.1,4,8.534,2,1064,0,0,0,6,30,6.275
24,0,30.0,4,20.7,3,1069,0,0,1,11,14,7.5
40,0,20.7,7,1.035,0,921,0,0,0,11,14,2.957142857142857
63,1,15.6,1,15.6,3,1070,0,0,0,9,7,15.6
19,1,31.3,2,26.918,0,161,3,0,0,5,20,15.65
52,1,13.3,4,7.315,3,701,0,0,0,7,9,3.325
56,0,21.2,1,21.2,0,170,3,0,0,9,16,21.2
56,0,22.9,5,13.282,1,517,1,0,0,1,25,4.58
47,1,5.9,3,4.484,0,317,0,0,0,12,28,1.9666666666666668
42,0,24.1,4,7.953,1,990,0,0,1,1,1,6.025
27,1,36.9,6,8.856,3,230,3,0,0,12,27,6.1499999999999995
43,1,12.6,1,12.6,1,211,1,0,1,7,11,12.6
54,1,32.1,7,18.297,0,817,0,0,0,1,6,4.585714285714286
52,0,18.1,1,18.1,3,234,1,0,0,8,15,18.1
19,1,20.6,7,14.008,2,653,1,0,0,3,31,2.942857142857143
22,0,14.9,3,5.811,1,666,0,0,0,3,5,4.966666666666667
49,0,53.5,2,41.73,1,166,1,0,0,3,18,26.75
35,1,1.8,2,0.126,0,230,0,0,0,4,11,0.9
47,1,30.4,6,0.304,1,1000,3,0,0,3,13,5.066666666666666
44,0,39.3,5,3.144,3,260,0,0,1,4,10,7.859999999999999
35,1,19.0,2,16.91,1,712,0,0,1,1,28,9.5
24,1,55.5,7,36.075,3,657,1,0,1,11,17,7.928571428571429
16,1,9.3,5,4.092,3,261,1,0,0,10,16,1.86
27,1,48.5,5,20.37,2,668,0,0,0,5,3,9.7
53,1,32.5,1,32.5,0,228,0,0,0,7,12,32.5
26,0,33.2,7,12.948,0,557,1,0,1,6,25,4.742857142857143
45,1,31.6,5,16.748,0,600,0,0,0,7,12,6.32
39,1,38.1,1,38.1,0,604,3,1,0,8,13,38.1
57,1,4.0,6,2.0,0,171,0,0,1,12,25,0.6666666666666666
42,0,32.1,4,21.828,0,306,0,0,0,7,7,8.025
37,1,16.4,7,15.744,0,833,2,1,0,10,23,2.3428571428571425
58,1,39.8,3,7.562,3,992,0,0,0,10,21,13.266666666666666
43,0,7.6,4,0.76,2,345,0,0,1,11,5,1.9
24,0,33.0,4,2.64,1,615,0,0,1,7,18,8.25
56,1,23.4,5,9.36,3,813,1,1,0,4,24,4.68
62,0,39.1,4,30.889,1,1075,0,0,0,6,15,9.775
53,0,32.9,2,13.489,1,945,0,1,0,1,7,16.45
45,1,28.6,3,22.022,3,613,0,0,0,4,13,9.533333333333333
48,1,19.4,2,8.73,0,554,0,0,1,11,15,9.7
16,1,34.7,5,31.577,2,868,2,0,0,1,19,6.94
62,1,58.7,1,58.7,1,1065,1,0,0,9,25,58.7
22,1,37.3,7,24.991,2,1043,0,0,1,10,19,5.328571428571428
52,1,43.5,2,41.325,1,473,0,0,1,10,13,21.75
18,1,52.9,5,11.109,3,742,0,0,0,9,16,10.58
39,1,10.0,6,6.4,2,140,3,0,0,6,14,1.6666666666666667
57,1,25.7,5,3.341,1,833,2,0,1,4,16,5.14
61,1,39.6,3,33.66,0,123,0,0,0,11,3,13.200000000000001
17,0,28.2,1,28.2,3,654,0,0,0,12,21,28.2
62,1,43.3,5,36.372,0,266,3,0,1,7,27,8.66
50,0,45.1,4,9.922,0,349,0,0,0,7,4,11.275
26,1,1.0,6,0.8,0,809,0,1,0,5,6,0.16666666666666666
49,1,6.2,1,6.2,3,196,0,1,1,11,4,6.2
63,1,6.3,4,5.481,2,184,0,0,0,12,6,1.575
23,1,37.3,5,21.261,0,468,0,0,0,1,1,7.459999999999999
63,0,55.7,5,42.889,2,1046,3,0,1,12,1,11.14
59,1,0.7,3,0.084,2,208,3,1,1,6,25,0.2333333333333333
60,1,43.1,6,17.24,2,1026,0,0,1,8,28,7.183333333333334
25,1,58.3,7,25.652,2,273,0,0,0,8,6,8.328571428571427
50,0,5.2,2,2.08,3,546,1,0,0,11,13,2.6
52,0,25.5,4,13.515,1,437,3,0,0,1,3,6.375
19,1,30.7,5,17.806,1,1055,3,0,0,7,5,6.14
33,1,35.4,5,22.656,2,546,0,0,1,11,26,7.08
45,1,35.9,5,22.976,1,140,0,1,0,10,14,7.18
57,1,40.5,5,13.365,0,628,0,0,0,8,22,8.1
45,0,23.3,1,23.3,1,209,0,1,1,11,9,23.3
54,0,5.0,3,2.5,2,349,0,0,1,6,11,1.6666666666666667
62,1,43.7,1,43.7,3,1003,0,0,1,9,18,43.7
49,1,35.6,6,27.056,3,863,0,0,0,1,1,5.933333333333334
63,1,14.4,3,4.176,1,725,3,0,0,9,12,4.8
28,1,11.1,1,11.1,0,435,3,0,0,4,11,11.1
50,1,30.9,1,30.9,3,257,0,0,0,9,28,30.9
54,1,47.9,4,10.059,0,897,0,0,0,2,14,11.975
46,1,26.7,1,26.7,1,247,0,0,0,4,7,26.7
16,1,39.5,4,35.945,0,382,1,0,1,9,9,9.875
49,1,31.0,3,10.23,2,336,0,0,1,11,10,10.333333333333334
52,0,35.2,4,5.632,1,599,0,0,0,6,13,8.8
47,1,7.1,5,1.917,0,238,0,0,1,6,12,1.42
28,1,27.3,4,5.733,3,875,0,0,1,2,12,6.825
28,1,20.1,5,5.829,3,252,0,0,0,1,28,4.0200000000000005
37,1,0.6,3,0.084,1,593,1,0,1,10,24,0.19999999999999998
27,1,48.5,3,35.89,0,413,1,0,1,10,5,16.166666666666668
62,1,15.9,1,15.9,3,946,1,0,1,6,26,15.9
18,0,22.4,7,10.08,0,318,2,1,1,5,21,3.1999999999999997
35,1,29.9,5,18.239,0,795,1,0,1,10,17,5.9799999999999995
36,1,30.8,1,30.8,1,1014,2,1,1,9,28,30.8
50,0,41.9,2,16.341,2,419,1,1,1,7,29,20.95
18,0,34.9,4,16.403,0,314,1,1,0,6,18,8.725
17,0,34.1,5,19.437,1,649,0,1,1,11,4,6.82
45,1,36.4,4,13.832,1,711,1,0,0,2,18,9.1
19,0,47.5,4,45.125,0,912,0,0,0,11,1,11.875
29,1,21.8,4,7.194,1,761,0,0,0,5,25,5.45
59,1,33.7,1,33.7,0,652,0,0,0,3,11,33.7
61,0,35.5,1,35.5,1,333,0,0,0,2,5,35.5
21,1,30.8,5,24.948,2,688,3,0,0,1,25,6.16
48,1,2.5,4,1.225,2,367,0,0,0,2,19,0.625
42,1,30.9,5,23.484,0,524,1,0,1,2,7,6.18
49,0,18.4,6,10.488,1,438,0,0,1,8,4,3.0666666666666664
19,1,10.2,1,10.2,0,237,0,0,0,4,7,10.2
44,0,25.8,5,22.704,2,725,0,0,0,9,24,5.16
48,1,13.9,1,13.9,3,956,0,0,0,9,30,13.9
31,1,36.2,7,7.964,2,669,0,1,1,4,25,5.171428571428572
49,1,35.9,5,31.951,1,840,1,1,0,1,16,7.18
37,1,27.8,7,13.066,1,705,0,0,0,7,3,3.9714285714285715
26,1,56.5,5,4.52,1,450,3,1,0,12,20,11.3
50,1,9.4,1,9.4,3,879,0,0,1,6,13,9.4
59,0,11.8,1,11.8,0,565,0,1,0,6,18,11.8
53,0,1.6,2,0.064,0,799,0,0,0,4,21,0.8
36,0,38.0,6,29.26,3,752,2,0,0,10,7,6.333333333333333
51,1,14.5,2,9.57,2,331,0,1,1,8,13,7.25
20,1,1.9,6,1.216,3,652,0,0,0,4,19,0.31666666666666665
37,1,13.6,1,13.6,1,841,0,0,1,3,17,13.6
37,0,16.5,4,11.55,0,586,0,0,0,8,24,4.125
25,1,14.4,1,14.4,2,871,0,0,0,3,3,14.4
26,1,28.8,4,28.224,1,930,0,1,0,2,8,7.2
50,0,7.3,4,0.146,3,241,0,1,1,10,7,1.825
63,1,25.9,4,3.108,3,1054,3,1,0,8,21,6.475
47,1,26.0,2,15.86,2,525,0,0,1,9,1,13.0
29,1,16.8,6,6.384,2,910,3,0,0,4,23,2.8000000000000003
52,1,38.9,4,10.503,1,1018,0,0,0,5,12,9.725
20,1,36.3,2,20.691,1,908,3,0,1,7,29,18.15
38,0,34.2,3,29.412,2,735,0,0,1,1,13,11.4
16,1,11.9,6,3.332,1,793,0,0,0,11,30,1.9833333333333334
42,1,33.9,5,26.103,1,666,0,0,1,6,2,6.779999999999999
24,0,9.6,6,9.024,1,984,0,0,0,9,7,1.5999999999999999
26,1,37.2,4,10.788,1,725,1,0,0,1,5,9.3
35,1,13.4,5,7.504,0,670,0,0,1,4,6,2.68
46,1,51.9,5,7.785,3,161,0,0,0,10,13,10.379999999999999
50,1,2.6,2,0.416,3,829,0,1,0,11,16,1.3
28,1,19.3,4,15.826,3,585,0,0,0,7,17,4.825
40,1,21.5,5,5.59,2,844,3,0,1,2,27,4.3
48,1,45.7,1,45.7,0,893,1,0,0,6,7,45.7
53,1,16.0,3,10.72,2,629,1,0,0,1,29,5.333333333333333
25,1,14.2,1,14.2,0,194,3,0,0,8,7,14.2
58,0,32.3,2,0.323,1,230,0,0,0,12,7,16.15
47,1,34.3,3,20.923,1,662,0,0,0,5,31,11.433333333333332
39,1,30.3,4,9.999,1,619,0,0,0,1,15,7.575
40,0,57.5,4,46.575,2,540,0,0,0,2,17,14.375
20,1,9.7,3,7.663,2,245,0,0,0,8,29,3.233333333333333
57,1,38.7,2,31.347,2,466,0,0,1,2,5,19.35
44,0,33.6,1,33.6,2,879,0,0,1,4,4,33.6
52,1,39.9,1,39.9,3,190,0,0,0,11,20,39.9
23,1,25.3,5,3.542,3,682,0,0,0,9,11,5.0600000000000005
62,1,32.9,3,31.913,1,680,0,0,0,3,23,10.966666666666667
49,1,35.6,5,21.716,3,580,2,0,1,3,18,7.12
31,1,16.1,3,1.288,0,485,0,0,1,12,28,5.366666666666667
56,1,18.8,5,8.648,0,771,1,0,0,9,2,3.7600000000000002
27,0,37.7,3,34.684,2,433,0,0,1,4,11,12.566666666666668
60,0,8.6,6,6.192,0,254,0,1,0,9,11,1.4333333333333333
16,1,50.3,2,6.539,2,147,1,0,0,9,26,25.15
57,1,39.5,2,33.97,1,129,0,0,0,4,23,19.75
38,0,27.8,4,12.232,2,518,2,0,0,7,4,6.95
